,Short,Full,HTTP,Free float [%]
187,IZOLACJA,Izolacja-Jarocin SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IZOLACJA,0
188,IZOSTAL,Izostal SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IZOSTAL,0
189,JSW,Jastrzębska Spółka Węglowa SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=JSW,0
190,JWCONSTR,J.W. Construction Holding SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=JWCONSTR,0
191,JWWINVEST,JWW Invest S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=JWWINVEST,0
192,K2HOLDING,K2 Holding SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=K2HOLDING,0
193,KBDOM,KORPORACJA BUDOWLANA DOM SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KBDOM,0
194,KCI,KCI SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KCI,0
195,KERNEL,Kernel Holding SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KERNEL,0
196,KETY,Grupa Kęty SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KETY,0
197,KGHM,KGHM Polska Miedź SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KGHM,0
198,KGL,Korporacja KGL SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KGL,0
199,KINOPOL,Kino Polska TV SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KINOPOL,0
200,KOGENERA,Zespół Elektrociepłowni Wrocławskich KOGENERACJA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KOGENERA,0
201,KOMPAP,Przedsiębiorstwo Produkcyjno Handlowe Kompap SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KOMPAP,0
202,KOMPUTRON,Komputronik SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KOMPUTRON,0
203,KPPD,Koszalińskie Przedsiębiorstwo Przemysłu Drzewnego SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KPPD,0
204,KRAKCHEM,Krakchemia SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KRAKCHEM,0
205,KREC,Krynicki Recykling SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KREC,0
206,KREDYTIN,Kredyt Inkaso SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KREDYTIN,0
207,KRKA,Krka d.d.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KRKA,0
208,KRUK,Kruk SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KRUK,0
209,KRUSZWICA,Zakłady Tłuszczowe Kruszwica SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KRUSZWICA,0
210,KRVITAMIN,Krynica Vitamin S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KRVITAMIN,0
211,KSGAGRO,KSG Agro SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KSGAGRO,0
212,LABOPRINT,Labo Print S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LABOPRINT,0
213,LARQ,Larq S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LARQ,0
214,LENA,Lena Lighting SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LENA,0
215,LENTEX,Lentex SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LENTEX,0
216,LIBET,LIBET S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LIBET,0
217,LIVECHAT,Livechat Software S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LIVECHAT,0
218,LOKUM,Lokum Deweloper S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LOKUM,0
219,LOTOS,Grupa LOTOS SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LOTOS,0
220,LPP,LPP SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LPP,0
221,LSISOFT,LSI Software SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LSISOFT,0
222,LUBAWA,LUBAWA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LUBAWA,0
223,MABION,Mabion SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MABION,0
224,MAKARONPL,Makarony Polskie SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MAKARONPL,0
225,MANGATA,Mangata Holding SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MANGATA,0
226,MARVIPOL,Marvipol Development S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MARVIPOL,0
227,MASTERPHA,Master Pharm SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MASTERPHA,0
228,MAXCOM,Maxcom SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MAXCOM,0
229,MBANK,mBank S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MBANK,0
230,MBWS,Marie Brizard Wine & Spirits,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MBWS,0
231,MCI,MCI Capital S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MCI,0
232,MDIENERGIA,MDI Energia S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MDIENERGIA,0
233,MEDIACAP,MediaCap SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MEDIACAP,0
234,MEDICALG,Medicalgorithmics SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MEDICALG,0
235,MEDINICE,Medinice S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MEDINICE,0
236,MEGARON,Megaron SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=MEGARON,0
